"BEVOEGD GEZAG NUMMER","BEVOEGD GEZAG NAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","KVK-NUMMER","ADMINISTRATIEKANTOORNUMMER"
"91456","Ver. tot stg. en inst.houding Scholen met de Bijbel","Nieuwe Veer","90","2959 AM","STREEFKERK","1927","MOLENWAARD","Reformatorisch","0184681120","www.smdbstreefkerk.nl","Nieuwe Veer","90","2959 AM","STREEFKERK","40322410","165"
"92067","Ver. t/h Verstr. van Sch.ond. op Reformatorische Grondslag","Duivenwal-west","301","3905 AV","VEENENDAAL","0345","VEENENDAAL","Reformatorisch","0318553733","www.calvijnschoolveenendaal.nl","Postbus","873","3900 AW","VEENENDAAL","40477000","165"
"92210","Vereniging voor Protestants Christ. Basisonderw. Vinkeveen","Pijlstaartlaan","1","3645 GR","VINKEVEEN","0736","DE RONDE VENEN","Protestants-Christelijk","0297265092","www.schakelvinkeveen.nl","Pijlstaartlaan","1","3645 GR","VINKEVEEN","40476748","136"
"92626","'Nederlandse Hervormde Schoolvereniging'","Klapperdijk","35","8191 AC","WAPENVELD","0246","HEERDE","Protestants-Christelijk","","www.bsdegoedeherder.nl","Klapperdijk","35","8191 AC","WAPENVELD","40101238","638"
"92639","Ver. tot Stg. en Inst.houding van Scholen met de Bijbel","Flessenbergerweg","39","8191 LH","WAPENVELD","0246","HEERDE","Protestants-Christelijk","0384478649","www.vanmaasschool.nl","Postbus","21","8190 AA","WAPENVELD","40101613","638"
"92899","Christ. Ver. voor Primair Onderwijs op Terschelling","Duinweg Hoorn","1","8896 KK","HOORN TERSCHELLING","0093","TERSCHELLING","Protestants-Christelijk","0562448787","www.basisonderwijsterschelling.nl","Duinweg Hoorn","1","8896 KK","HOORN TERSCHELLING","40000467","606"
"92951","Vereniging Scholen met de Bijbel Wierden-Enter","De Savornin Lohmanstraat","2","7642 XK","WIERDEN","0189","WIERDEN","Protestants-Christelijk","0546579466","www.smdb-wierden-enter.nl","Postbus","40","7640 AA","WIERDEN","08153307","722"
"93445","Ver. Chr. Nat. Basisonderwijs Driesum, Wouterswoude,Damwoude","Foarwei","39","9113 PB","WALTERSWALD","1891","DANTUMADIEL","Protestants-Christelijk","0511421654","www.cnsww.nl","Foarwei","39","9113 PB","WALTERSWALD","40001667","165"
"94251","Stg. Nutsscholen v. Kleuter-/ Lager Onderwijs Aalst-Waalre","Anemonelaan","2","5582 GC","WAALRE","0866","WAALRE","Algemeen bijzonder","0402233038","www.basisschool-demeent.nl","Anemonelaan","2","5582 GC","WAALRE","41088896","606"
"94316","Schoolvereniging Aerdenhout-Bentveld","Mr. H. Enschedeweg","22","2111 EB","AERDENHOUT","0377","BLOEMENDAAL","Algemeen bijzonder","0235441852","www.basisschoolsab.nl","Mr. H. Enschedeweg","22","2111 EB","AERDENHOUT","40595028","098"
"94433","Stichting Geert Groote School","Fred. Roeskestraat","82","1076 ED","AMSTERDAM","0363","AMSTERDAM","Antroposofisch","0206750419","www.geertgrooteschool.nl","Postbus","75754","1070 AT","AMSTERDAM","41201421","401"
"94459","Stichting Nieuwe Schoolvereniging","Van de Veldestraat","3-II","1071 CW","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","","","Van de Veldestraat","3-II","1071 CW","AMSTERDAM","41199013","606"
"94771","Stichting Beverwijkse Montessori Scholen","Laan van Blois","100","1943 MN","BEVERWIJK","0375","BEVERWIJK","Algemeen bijzonder","0251227069","www.montessoribeverwijk.nl","Laan van Blois","100","1943 MN","BEVERWIJK","41222561","136"
"94797","Bloemendaalse Schoolvereniging","Lage Duin en Daalseweg","17","2061 BB","BLOEMENDAAL","0377","BLOEMENDAAL","Algemeen bijzonder","0235256205","www.debsv.nl","Lage Duin en Daalseweg","17","2061 BB","BLOEMENDAAL","40594438","098"
"95135","Delftsche Schoolvereeniging","Koningsplein","83","2611 XG","DELFT","0503","DELFT","Algemeen bijzonder","0152120628","www.dsv-delft.nl","Koningsplein","83","2611 XG","DELFT","40397536","136"
"95148","Stichting Deventer en Almelose Montessorischolen","Andriessenplein","22","7425 GX","DEVENTER","0150","DEVENTER","Algemeen bijzonder","0570782402","www.stichtingdam.nl","Andriessenplein","22","7425 GX","DEVENTER","40650250","744"
"95395","Stg. Inst. van Opv. Ing. Door Luiten.-Admiraal v. Kinsbergen","Arent toe Boecoplaan","41","8081 VZ","ELBURG","0230","ELBURG","Algemeen bijzonder","0525681295","www.vankinsbergenschool.nl","Arent toe Boecoplaan","41","8081 VZ","ELBURG","41035209","606"
"95421","Enschedese Schoolvereniging","Tichelweg","7","7523 AL","ENSCHEDE","0153","ENSCHEDE","Algemeen bijzonder","0534311000","www.esv-school.nl","Tichelweg","7","7523 AL","ENSCHEDE","40073067","722"
"95655","School Ver. Neutraal Bijzonder Onderwijs Casimir","Groeneweg","27","2801 ZA","GOUDA","0513","GOUDA","Algemeen bijzonder","0182519706","www.casimirschool.nl","Groeneweg","27","2801 ZA","GOUDA","40464353","136"
"95681","Schoolvereniging Wolters","Utenbroekestraat","2","2597 PH","'S-GRAVENHAGE","0518","S GRAVENHAGE","Algemeen bijzonder","0703242630","www.schoolverenigingwolters.nl","Utenbroekestraat","2","2597 PH","'S-GRAVENHAGE","40409325","098"
"95694","Stichting Haagsche Schoolvereeniging","Tarwekamp","3","2592 XG","'S-GRAVENHAGE","0518","S GRAVENHAGE","Algemeen bijzonder","0703837730","www.hsvdenhaag.nl","Tarwekamp","3","2592 XG","'S-GRAVENHAGE","41150342","136"
"95746","Vereniging Montessorischool Waalsdorp","Utenbroekestraat","6","2597 PH","'S-GRAVENHAGE","0518","S GRAVENHAGE","Algemeen bijzonder","0703247420","www.waalsdorp.nl","Utenbroekestraat","6","2597 PH","'S-GRAVENHAGE","40407626","715"
"95785","Stichting Vrijescholen ZW Nederland","Waalsdorperweg","12","2597 JB","'S-GRAVENHAGE","0518","S GRAVENHAGE","Antroposofisch","0703244300","www.devrijeschooldenhaag.nl","Waalsdorperweg","12","2597 JB","'S-GRAVENHAGE","40407208","401"
"95954","De Haarlemse Montessorischool","Louise de Colignylaan","3","2012 SR","HAARLEM","0392","HAARLEM","Algemeen bijzonder","0235281624","","Louise de Colignylaan","3","2012 SR","HAARLEM","40594142","706"
"96266","Hilversumse Schoolvereniging","Frans Halslaan","70","1213 BM","HILVERSUM","0402","HILVERSUM","Algemeen bijzonder","0356245076","www.hsv1909.nl","Frans Halslaan","70","1213 BM","HILVERSUM","40516459","744"
